ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Unknown,Vars,Indirect,UNKNOWN, MD,Unkown,SPACEWAY3,Broadband Remote,HN7000 Upgrade,Female,69,0,1,0,N,0,,,,,,df['Y']=0
Active,Pro,Sales Agents,Indirect,NCC, NJ,GOOD,HZN2-VER-4K,Spaceway,Retail       ,Female,43,4,1,0,N,0,,,,,,
Active,Power150,Call Center,Indirect,NCC, LA,BAD,SM5-VER-15K,Broadband Remote,National Sales,Female,58,4,1,0,N,0,,,,,,
Active,Power150,Sales Agents,Direct,TAG, OH,Unkown,SPACEWAY3,Spaceway,Direct,Male,22,6,1,1,Unknown,0,,,,,,
Active,Home,Call Center,Indirect,TAG, NY,GOOD,Unkown,Broadband Remote,DW6000 Upgrade,Male,36,7,0,0,Unknown,0,,,,,,
Active,Pro,Sales Agents,Indirect,UNKNOWN, TX,GOOD,SPACEWAY3,Broadband Remote,HN9000 Upgrade,Female,51,7,1,0,Unknown,0,,,,,,
Active,Power150,Uknown,Indirect,ValueElectronics, MO,Unkown,G17-HOR-2K,Broadband Remote,Retail,Male,56,3,1,0,Unknown,0,,,,,,
Active,Power150,Vars,Indirect,TAG, MD,GOOD,SM5-VER-5K,Broadband Remote,Retail       ,Male,57,7,0,Unkown,Y,0,,,,,,
Active,Home,Vars,Indirect,TAG, AR,GOOD,AM6-HOR-21K,Broadband Remote,HN9000 Upgrade,Female,42,4,2,0,Unknown,0,,,,,,
Active,Basic_Ltd,Sales Agents,Indirect,Hughes Web Order, MD,BAD,G17-HOR-6K,Broadband Remote,HN7000 Upgrade,Female,34,4,2,1,N,0,,,,,,
Active,Basic,Call Center,Indirect,TAG, AZ,GOOD,G3C-VER-24K,Broadband Remote,DPC Classic upgrade,Female,54,3,1,1,N,0,,,,,,
Active,Proplus,Uknown,Direct,InfoDish, NV,BAD,Unkown,Broadband Remote,DPC Classic upgrade,Male,57,6,1,0,Unknown,0,,,,,,
